ice_sales,year,month,avg_temp,total_rain,humidity,num_day_over25deg
331,2003,1,9.3,101,46,0
268,2003,2,9.9,53.5,52,0
365,2003,3,12.7,159.5,49,0
492,2003,4,19.2,121,61,3
632,2003,5,22.4,172.5,65,7
730,2003,6,26.6,85,69,21
821,2003,7,26,187.5,75,21
1057,2003,8,29.5,370,73,26
724,2003,9,28.1,150,66,23
430,2003,10,21.4,171.5,59,3
363,2003,11,17.4,229.5,67,0
415,2003,12,13.2,53,50,0
351,2004,1,10.1,3.5,43,0
322,2004,2,12.9,20,45,0
367,2004,3,14,129.5,53,0
508,2004,4,21.3,69.5,51,3
667,2004,5,23.7,149,67,13
772,2004,6,27.5,112.5,66,24
1148,2004,7,33.1,23.5,62,31
1080,2004,8,31,79.5,65,28
653,2004,9,28.7,195,68,26
434,2004,10,20.7,780,69,3
358,2004,11,19,108.5,60,0
388,2004,12,13.4,79.5,49,0
323,2005,1,10,77,47,0
283,2005,2,9.9,48,45,0
357,2005,3,13.1,71,49,0
543,2005,4,19.6,81,54,2
667,2005,5,21.9,180.5,58,6
812,2005,6,26.7,170.5,70,22
1037,2005,7,29.1,247.5,71,27
1179,2005,8,31.8,189.5,68,31
739,2005,9,28.2,177.5,67,24
453,2005,10,22.3,201.5,69,7
315,2005,11,17,34.5,52,0
359,2005,12,10.2,3.5,39,0
322,2006,1,8.5,67,44,0
279,2006,2,10.5,113,53,0
373,2006,3,14,79.5,48,0
457,2006,4,17.5,123,57,0
602,2006,5,22.7,99,65,7
748,2006,6,25.4,138.5,71,15
973,2006,7,28.6,165,74,26
1193,2006,8,31.1,126,69,31
654,2006,9,27.1,175.5,68,20
493,2006,10,22.9,318,66,9
336,2006,11,17.9,135,59,0
392,2006,12,12.5,200.5,52,0
347,2007,1,10.9,42,45,0
292,2007,2,12.8,57,45,0
387,2007,3,15,77,44,0
466,2007,4,17.9,134,59,1
652,2007,5,24,115.5,58,13
768,2007,6,27.1,80,66,23
908,2007,7,27.4,253,74,26
1279,2007,8,33,9.5,66,31
784,2007,9,28.5,319.5,71,25
469,2007,10,22.2,135.5,63,4
324,2007,11,16.6,37,56,0
405,2007,12,12.6,72,54,0
346,2008,1,9.4,17.5,45,0
288,2008,2,9.6,57,41,0
404,2008,3,14.9,119.5,52,0
501,2008,4,18.4,240,59,1
689,2008,5,22,255,65,8
727,2008,6,24.6,225.5,72,15
1182,2008,7,30.9,48,71,31
1190,2008,8,30.7,387.5,74,28
691,2008,9,27.7,158.5,69,25
477,2008,10,22.6,204.5,66,1
355,2008,11,16.4,74,56,0
414,2008,12,13.7,70.5,53,0
351,2009,1,10.2,142,48,0
303,2009,2,11.5,46.5,50,0
386,2009,3,13.7,98.5,48,0
569,2009,4,20.2,162.5,54,1
768,2009,5,23.6,242,64,9
819,2009,6,25.8,226,72,16
1072,2009,7,29.3,78.5,72,28
1215,2009,8,30.1,242,69,30
723,2009,9,26.5,53,64,21
495,2009,10,22.3,276.5,64,5
402,2009,11,17,151.5,63,1
440,2009,12,12.4,82.5,51,0
362,2010,1,11,9,41,0
305,2010,2,9.9,115,60,0
383,2010,3,13.2,143.5,61,0
464,2010,4,16.6,214,62,1
752,2010,5,23,114,60,8
841,2010,6,27.5,108,67,24
1211,2010,7,31.6,70,70,31
1451,2010,8,33.5,27,67,31
864,2010,9,29,428,68,22
504,2010,10,21.8,211,68,6
351,2010,11,17.2,94.5,56,0
423,2010,12,13.7,145.5,50,0
346,2011,1,9.1,3.5,36,0
289,2011,2,11.2,151,52,0
329,2011,3,12.3,74,47,0
462,2011,4,18.9,96,50,0
672,2011,5,22.2,213.5,63,8
791,2011,6,26,116.5,71,15
1265,2011,7,30.9,54.5,67,29
1241,2011,8,31.2,244,71,29
767,2011,9,28.8,235,68,23
516,2011,10,23,119.5,61,9
393,2011,11,18.3,112.5,58,0
423,2011,12,11.1,59.5,48,0
339,2012,1,8.3,50,43,0
274,2012,2,9.1,94,49,0
385,2012,3,12.5,144.5,59,0
524,2012,4,18.5,118.5,63,1
671,2012,5,23.6,231,65,12
798,2012,6,24.8,185,73,15
1165,2012,7,30.1,130,75,27
1332,2012,8,33.1,25,69,31
849,2012,9,29.8,214.5,73,27
515,2012,10,23,154.5,65,9
326,2012,11,16.3,154,58,0
414,2012,12,11.2,69,52,0
